1,1,Smartphone X12,Next-gen smartphone with an edge-to-edge OLED display,alpha_product.jpg
2,2,Laptop Pro 15,High-performance laptop with exceptional graphics,beta_tool.jpg
3,1,Wireless Earbuds,True wireless earbuds with active noise cancellation,gamma_equipment.jpg
4,3,Portable Charger 10k,Compact power bank with fast-charging capability,delta_accessory.jpg
5,2,Smart Watch 4th Gen,Advanced smartwatch with ECG and 5-day battery life,epsilon_gadget.jpg
6,1,Gaming Mouse Plus,Ergonomic gaming mouse with customizable RGB lighting,zeta_device.jpg
7,3,Bluetooth Speaker Mini,Portable speaker with 360-degree sound and IP67 rating,eta_appliance.jpg
8,2,4K Action Camera,Waterproof action camera with 4K video recording,theta_machinery.jpg
9,1,USB-C Hub 6-in-1,Versatile USB-C hub with multiple ports and 4K HDMI,iota_hardware.jpg
10,3,Fitness Tracker Max,All-day fitness tracker with heart rate and sleep monitoring,kappa_instrument.jpg
